University_Code,University_Name,County,Type,Degree,Total_Students,Male,Female,FirstYear_Male,FirstYear_Female,SecondYear_Male,SecondYear_Female,ThirdYear_Male,ThirdYear_Female,FourthYear_Male,FourthYear_Female,FifthYear_Male,FifthYear_Female,SixthYear_Male,SixthYear_Female,SeventhYear_Male,SeventhYear_Female,Supersenior_Male,Supersenior_Female
1,國立政治大學,30 臺北市,日間部學制,博士班,952,565,387,90,82,102,59,85,58,69,62,66,54,72,37,81,35,0,0
1,國立政治大學,30 臺北市,日間部學制,碩士班,4028,1846,2182,685,760,571,699,369,456,221,267,0,0,0,0,0,0,0,0
1,國立政治大學,30 臺北市,日間部學制,學士班,9632,3934,5698,897,"1,299",888,"1,348",997,"1,226",858,"1,372",0,0,0,0,0,0,294,453
1,國立政治大學,30 臺北市,進修部在職專班,碩士班,1741,871,870,295,278,264,280,163,185,99,78,50,49,0,0,0,0,0,0
2,國立清華大學,18 新竹市,日間部學制,博士班,1687,1253,434,220,77,211,83,196,58,183,59,138,43,119,45,186,69,0,0
2,國立清華大學,18 新竹市,日間部學制,碩士班,4955,3100,1855,"1,268",714,"1,201",630,452,292,170,202,3,11,6,6,0,0,0,0
2,國立清華大學,18 新竹市,日間部學制,學士班,8860,4737,4123,"1,091",944,"1,164","1,003","1,110","1,044","1,108",971,0,0,0,0,0,0,264,161
2,國立清華大學,18 新竹市,進修部在職專班,碩士班,1130,423,707,176,233,134,218,47,100,25,58,19,27,13,20,9,51,0,0
3,國立臺灣大學,30 臺北市,日間部學制,博士班,3616,2542,1074,413,187,427,167,385,176,365,138,299,135,290,109,363,162,0,0
3,國立臺灣大學,30 臺北市,日間部學制,碩士班,10201,6188,4013,"2,483","1,572","2,312","1,417",914,626,479,398,0,0,0,0,0,0,0,0
3,國立臺灣大學,30 臺北市,日間部學制,學士班,16557,9393,7164,"2,096","1,642","2,124","1,651","2,086","1,614","1,977","1,589",157,90,136,54,103,30,714,494
3,國立臺灣大學,30 臺北市,進修部在職專班,碩士班,1427,930,497,345,191,276,176,176,83,52,19,30,14,51,14,0,0,0,0
3,國立臺灣大學,30 臺北市,進修學士班,學士班,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,國立臺灣師範大學,30 臺北市,日間部學制,博士班,1393,711,682,131,123,101,111,121,120,105,101,90,97,85,68,78,62,0,0
4,國立臺灣師範大學,30 臺北市,日間部學制,碩士班,3956,1635,2321,590,756,550,716,302,516,193,333,0,0,0,0,0,0,0,0
4,國立臺灣師範大學,30 臺北市,日間部學制,學士班,8085,3584,4501,866,"1,067",863,"1,094",836,"1,055",757,"1,033",0,0,0,0,0,0,262,252
4,國立臺灣師範大學,30 臺北市,進修部在職專班,碩士班,1992,584,1408,189,421,179,405,70,225,84,189,31,94,31,74,0,0,0,0
