Academic_Year,University_Code,University_Name,Department,Degree,Overseas_Total,Overseas_Male,Overseas_Female,HKMAC_Total,HKMAC_Male,HKMAC_Female
106,1,國立政治大學,教育學系,學士班,19,2,17,5,3,2
106,1,國立政治大學,教育學系,碩士班,3,2,1,0,0,0
106,1,國立政治大學,教育行政與政策研究所,碩士班,1,1,0,1,0,1
106,1,國立政治大學,華語文教學博士學位學程,博士班,1,0,1,0,0,0
106,1,國立政治大學,華語文教學碩士學位學程,碩士班,2,0,2,1,0,1
106,1,國立政治大學,宗教研究所,碩士班,0,0,0,1,0,1
106,1,國立政治大學,宗教研究所,博士班,2,0,2,0,0,0
106,1,國立政治大學,歷史學系,學士班,2,1,1,8,6,2
106,1,國立政治大學,歷史學系,碩士班,1,0,1,5,4,1
106,1,國立政治大學,歷史學系,博士班,0,0,0,2,2,0
106,1,國立政治大學,民族學系,學士班,1,0,1,2,2,0
106,1,國立政治大學,哲學系,學士班,7,5,2,9,7,2
106,1,國立政治大學,哲學系,碩士班,1,1,0,3,2,1
106,1,國立政治大學,英國語文學系,學士班,5,2,3,7,3,4
106,1,國立政治大學,英國語文學系,碩士班,1,0,1,0,0,0
106,1,國立政治大學,日本語文學系,學士班,8,1,7,4,0,4
106,1,國立政治大學,日本語文學系,碩士班,1,0,1,1,1,0
106,1,國立政治大學,阿拉伯語文學系,學士班,2,1,1,1,1,0
106,1,國立政治大學,韓國語文學系,學士班,7,0,7,4,0,4
106,1,國立政治大學,土耳其語文學系,學士班,7,2,5,1,0,1
106,1,國立政治大學,歐洲語文學系,學士班,9,2,7,5,2,3
106,1,國立政治大學,斯拉夫語文學系,學士班,2,1,1,3,0,3
106,1,國立政治大學,台灣文學研究所,碩士班,0,0,0,1,0,1
106,1,國立政治大學,中國文學系,學士班,11,3,8,13,7,6
106,1,國立政治大學,中國文學系,碩士班,3,3,0,8,5,3
106,1,國立政治大學,中國文學系,博士班,3,2,1,0,0,0
106,1,國立政治大學,經濟學系,學士班,11,5,6,4,3,1
106,1,國立政治大學,政治學系,學士班,1,1,0,9,7,2
106,1,國立政治大學,政治學系,碩士班,1,1,0,2,1,1
106,1,國立政治大學,外交學系,學士班,16,3,13,1,1,0
106,1,國立政治大學,外交學系,碩士班,0,0,0,1,1,0
106,1,國立政治大學,國際研究英語碩士學位學程,碩士班,1,1,0,0,0,0
106,1,國立政治大學,心理學系,學士班,9,2,7,4,1,3
106,1,國立政治大學,心理學系,碩士班,3,2,1,3,2,1
106,1,國立政治大學,輔導與諮商碩士學位學程,碩士班,0,0,0,1,1,0
106,1,國立政治大學,社會學系,學士班,5,2,3,4,4,0
106,1,國立政治大學,社會學系,碩士班,2,1,1,3,3,0
106,1,國立政治大學,東亞研究所,碩士班,1,1,0,4,4,0
106,1,國立政治大學,俄羅斯研究所,碩士班,1,1,0,1,1,0
106,1,國立政治大學,亞太研究英語碩士學位學程,碩士班,0,0,0,1,0,1
106,1,國立政治大學,國家發展研究所,碩士班,0,0,0,1,1,0
106,1,國立政治大學,勞工研究所,碩士班,0,0,0,1,1,0
106,1,國立政治大學,傳播學院傳播碩士學位學程,碩士班,3,0,3,5,2,3
106,1,國立政治大學,傳播學院傳播學士學位學程,學士班,4,1,3,0,0,0
106,1,國立政治大學,國際傳播英語碩士學位學程,碩士班,0,0,0,3,0,3
106,1,國立政治大學,廣播電視學系,學士班,12,0,12,5,3,2
106,1,國立政治大學,新聞學系,學士班,7,2,5,2,1,1
106,1,國立政治大學,圖書資訊與檔案學研究所,碩士班,1,0,1,0,0,0
106,1,國立政治大學,傳播學院大一大二不分系,學士班,26,3,23,19,7,12
106,1,國立政治大學,會計學系,學士班,7,1,6,6,4,2
106,1,國立政治大學,會計學系,碩士班,1,0,1,2,1,1
106,1,國立政治大學,財務管理學系,學士班,10,4,6,0,0,0
106,1,國立政治大學,財務管理學系,碩士班,1,1,0,1,0,1
106,1,國立政治大學,金融學系,學士班,8,3,5,3,1,2
106,1,國立政治大學,金融學系,碩士班,1,1,0,0,0,0
106,1,國立政治大學,財政學系,學士班,12,6,6,4,2,2
